번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032902,특수 목적용 기계 제조업,"44,802,511","22,401,255,500","500",원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,2410
2,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",2410
3,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,2410
4,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500","500",원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),2410
5,265520,AP시스템,032902,특수 목적용 기계 제조업,"14,480,227","7,240,113,500","500",원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,2410
6,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000","500",원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2410
7,027410,BGF,116409,기타 금융업,"95,716,791","95,716,791,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,2410
8,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥,2410
9,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,2410
10,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3172,서울특별시 영등포구 도림천로21길 3 ,2410
11,001040,CJ,116409,기타 금융업,"29,176,998","179,047,370,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",2410
